CODIGO;NOMBRE;ACTIVA;MTP;MTC
3390;SANITARIO GME;T;66,66;55
3391;ACQUABELLA;T;81,81;55
3392;SHOWER ENGEENERING;T;125;85
3393;MC BATH PLATO DUCHA;T;80;52
3394;SYAN AQUASILK;T;80;52
3395;BSURFACE;T;80;52
3396;SANYC CES HIDROMASAJE;T;80;52
3397;ZENON SOLID SURFACE;T;80;52
3398;FORMS&DESING;T;125;85
3399;BATH;T;80;52
3400;EQUIZONE BATH;T;125;85
3406;CRYMA MUEBLES.;T;66,66;52
3501;GRIFERIA 3M TREEMME;T;66,66;52
3502;NOBILI;T;60;52
3503;VALVULAS Y SIFONES;T;110;85
3504;FORMMA GRIFERIA;T;66,66;55
3505;TRES;T;59;52
3506;CLEVER;T;50;46
3507;SCHOOCK;T;53,44;46
3508;GRIFERIA ID. STANDAR;T;59;52
3509;GRIFERIA ELITRES;T;59;52
3510;GRIFERIA ORDAL TRES;T;59;51
3511;GRIFERIA TRES CLASSIC/CLASS;T;59;51
3512;GRIFERIA TRES M-50;T;59;51
3513;TRESMOSTATICAS TRES;T;69,95;55
3514;GRIFERIA BELLOSTA;T;66,66;55
3515;GRIFERIA ELITE;T;66,66;55
3516;GRIFERIA TEUCO;T;66,66;40
3517;SOLO PROFESIONAL;T;59;52
3518;DUCHAS BOSSINI.;T;59;52
3519;SILFRA DESAGüES AUT.;T;59;52
3520;GRIFERIA ANDANA CREACION INDUSTRIAL;T;59;52
3521;CRISTINA GRIFERIA;T;59;52
3522;VALSIR;T;59;52
3523;GRIFERIA FANTINI;T;59;52
3524;GRIFERIA RIZZONE;T;59;52
3525;FIMA CARLO FRATTINI;T;60;52
3526;GRIFERIA TRASS;T;66,66;55
3531;ALFA DYSER TAPONES Y VALVULAS;T;80;60
3533;MZ DEL RIO;T;110;85
3587;SANITARIOS MIZU;T;60;60
3600;KYRYA COLLECTION;T;66,66;55
3601;COMERCIAL SANITARIA.;T;66,66;55
3602;GRIFERIA VARIOS;T;66,66;52
3603;PRESTO;T;66,66;52
3604;GRIFERIAS F.GROHE;T;59;52
3605;MONOMANDOS TEKA;T;47,05;32
3606;GRIFERIA MONOMANDO M-2;T;66,66;45
3607;GRIFERIA MONODIN;T;66,66;45
3609;GROHEDAL;T;59;52
3610;ACCESORIOS ROCA;T;66,66;42
3611;GRIFERIA M3;T;49,1;42
3612;GRIFERIA PANAMA ROCA;T;49,1;42
3613;F.GROHE;T;59;52
3614;GROHE COMPLEMENTS;T;59;52
3620;HANSGROHE;T;55;50
3622;SUPERGRIF;T;66,66;52
3701;GRIFERIA HANSA TWIST;T;59;52
3702;GRIFERIA HANSA-DISC;T;59;52
3703;HANSA PRADO;T;59;52
3704;GRIFERIA HANSA-RONDA;T;59;52
3705;GRIFERIA HANSA DELTA;T;59;52
3706;COMPLEMENTOS HANSA;T;59;52
3707;HANSA STAR;T;59;52
3708;HANSA TIFFANY;T;59;52
3709;HANSA-JET;T;59;52
3710;GRIFERIA HANSA MIX;T;59;52
3711;GRIFERIA HANSA MAT;T;59;52
3712;HANSA VIVA;T;59;52
3713;HANSA LUX;T;59;52
3715;HANSA NOVA;T;59;52
3716;HANSA COBRA;T;59;52
3717;HANSA DESIGNO;T;59;52
3718;HANSA GRIFERIA;T;59;52
3719;HANSA GRIFERIA KWC;T;59;52
3720;GRIFERIA RGC;T;59;52
3721;GRIFERIA ZUCCHETTI;T;59;52
3722;GRIFERIA GALINDO;T;59;52
3723;GRIFERIA RAMON SOLER ;T;66,66;52
3724;HUBER ESPAÑA;T;59;52
3725;MARTI STANDARD (P.NEGROS);T;83;55
3728;CASA BUADES;T;71,43;61,91
3729;MARTI BOUTIQUE (P.VERDES);T;59;52
3730;GRIFERIA YEDREI;T;83;55
3731;GRIFERIA GRB GROBER;T;70;55
3732;GRIFERIA IBERGRIF;T;83;60
3733;GRIFERIA ROVIRA;T;66,66;55
3734;GRIFERIA IMEX ;T;81;66
3735;GRIFERIA TWINS;T;83;55
3736;BRUMA;T;83;55
3737;ACCES.BAÑO KEUKO;T;66,66;55
3738;TUCAI ZONA SANITARIOS;T;59;52
3801;MAMPARAS BATH INNOVATIONS;T;66;55
3802;MAMPARAS GME;T;66,66;55
3803;DUBAÑO Y TDA MAMPARAS;T;66,66;55
3804;MAMPARAS VENTIKLAR;T;66,66;55
3805;MAMPARAS;T;66,66;55
3806;MAMPARAS VELVET;T;66,66;55
3807;MAMPARAS RESER;T;66,66;55
3808;MAMPARAS NOVELLINI;T;66,66;55
3809;MAMPARAS NOVELLINI BASIC;T;66,66;55
3810;MAMPARAS MEGIUS;T;66,66;55
3811;MAMPARAS LASSER;T;66,66;55
3812;MAMPARAS KASSANDRA/MILETO;T;66,66;55
3813;MAMPARAS SAMO;T;66,66;55
3814;MAMPARAS STILDUX;T;66,66;55
3815;ALEX BAN;T;66,66;55
3816;MAMPARA AV BOX;T;66,66;55
3817;MAMPARAS MUNDILITE;T;66,66;55
3818;MAMPARAS SPAZIA;T;66,66;55
3820;MAMPARAS DEYBAN;T;66,66;55
3821;MAMPARAS GRESANCU;T;75;65
3822;MAMPARAS ALBERCH (ROCA);T;66,66;55
3823;MAMPARAS SANYCCES;T;66,66;55
3825;ACCESORIOS TALLERES CAZAÑA;T;66,66;55
3874;EUROBATH;T;81,81;55
3875;LEDIMEX;T;81;66
3876;GENEXIA;T;81,81;55
3877;ACCESORIOS BAÑO CROPUSA;T;78,5;55
3878;ACCESORIOS PORTACELLI;T;81,81;55
3879;JRG ;T;81,81;55
3880;3880 AC.BAÑO BOSSINI;T;66,66;55
3881;ACCESORIOS GEDY;T;66,66;55
3882;DISEÑO SANITARIO DIS;T;66,66;55
3884;3884 AC.BAÑO ARLINEA;T;66,66;55
3886;3886 AC.BAÑO ARTYSAN;T;66,66;55
3887;3887 ACCESORIOS AJA;T;66,66;55
3888;3888 AC.BAÑO DIECRIS;T;66,66;55
3889;3889 ACC.BAÑO URALDI;T;66,66;55
3890;ACCESORIOS MANILLONS TORRENT;T;66,66;55
3891;ACCESORIOS BDB;T;66,66;55
3892;ACCESORIOS PYP ;T;66,66;55
3893;VISOBATH;T;75;60
3894;ESPACIO MOGAR;T;66,66;52
3895;CROPUSA;T;66,66;55
3896;MUEBLES PRODIBANY;T;66,66;55
3897;MYOC - MUEBLES Y OTRAS COSAS;T;66,66;55
3898;MUEBLES BAÑO FIORA;T;66,66;55
3899;MUEBLES SLORA CREAC.Y DISTRIBUCIONES;T;50;45
3900;INOX BANY BASICS;T;100;100
3901;LOFT&BATH;T;66,66;55
3902;AVILA DOS;T;66,66;55
3903;NICOLE;T;100;66
3904;TOT-BANY;T;79,21;55
3905;MUEBLES BATH GLASS;T;66,66;55
3906;ALTRO;T;66,66;55
3907;MUEBLES INOX BANY;T;66,66;55
3908;PIEDRAS DE GALICIA (ENCIMERAS Y LAVABOS);T;75;60
3909;MARTIN;T;64,94;57,1
